title,id,vote,genre,,release_date
L'AMANT D'UN JOUR,fcccb710a7bfe610461aa83d827e60bd6b5c40c9,7.5,['Drame'],fr,2017-05-31
EMBRASSE MOI,8a9f951e2010c014a2f636ba362cdde3a7aa2a6e,6,"[""Romance"", ""Comedie""]",fr,2017-07-05
BAD BUZZ,b4227a4604cd8553215d04e71bbe7b5e7a32c682,2.9,"[""Comedie""]",fr,2017-06-21
TELLE MERE TELLE FILLE,df62046d2736767671ef76310f79f44626d1a27f,5.7,"[""Comedie""]",fr,2017-03-29
MARVIN,1d8c08070c5aba849168a3ea610cd146615b3efe,6.9,['Drame'],fr,2017-11-22
LA MELODIE,4a44102f1fe5c2d37c713e5c1c5d6e4fbbe77a1b,6.5,"['Drame', ""Comedie""]",fr,2017-11-08
LE RIRE DE MA MERE,e24dfa9f083570bb32da80e05e6cf8f37ce4e373,6.3,"[ ‘Comedie' , 'Drame’]",,
LE REDOUTABLE,f2bce2aa22ac32999e9442db5f490eb6c6efd780,7.3,"['Drame', ""Romance""]",fr,2017-09-13
L'EMBARRAS DU CHOIX,15e49a6ac8b82ae1b304bb4ed132f6d6805ae136,5.9,"[""Romance"", ""Comedie""]",fr,2017-03-15
LES CARNIVORES,bd39dfc50233745aa1911871d97f4a7eca60efef,6.4,[‘Drame’],,
GANGSTERDAM,58f6179ee94faa84966f21a07ead1e3f53a58b69,5.7,"[""Action"", ""Comedie""]",fr,2017-03-29
LA VIE DE CHATEAU,41b3ffaf3ec8fed36a3a1df12789ad18d3470b1b,7,[],fr,2017-08-09
MARIAGE BLANC,9b1942eb7b05c8499f35eaf19938dd5d7c3a1ffd,0,[],,
MADAME,12de7f15652677100b650f53dc9f59caedf6c341,6.5,"['Drame', ""Comedie""]",en,2017-08-17
LES FILLES DE REIMS,2e6b14377a5cde71212317f25dbb672018cdd4a5,0,[],,
LA DOULEUR,0a9e56524bc8786e6d84e6634ee51422cd65491b,6.2,['Drame'],fr,2016-01-01
JOUR J,760c29b6d9bfe9dad544a46abfd22d4e55be70f1,6.2,"[""Romance"", ""Comedie""]",fr,2017-04-26
CA C'EST LA FAMILLE,503010bb4d9c85c7d2154db57337ca5d34e0b84d,0,[],,
THIRST STREET,e209cc202ca2fa7a67975e304dd5e54178e41c55,5,"['Drame', ""Romance"", ""Thriller""]",en,2017-04-21
LES EX,a4fc9ba15f288742c2598d10103fd9b9860fd0db,5.1,"[""Comedie""]",fr,2017-06-21
ON THE FRENCH RIVIERA,ecce920e3cf3b3bd2af6aee8e3332e66155313de,0,[],,
DIANE A LES EPAULES,50cf30b722eeb038197e2dea479608dcc20b1468,6.3,"[""Comedie""]",fr,2017-11-15
MARYLINE,186401d28dd5ca441e18ef1c2b24d29556b4c160,5,['Drame'],fr,2017-11-15
NOS ANNEES FOLLES,62e0b42985ee64964b705b1d3960b2707beb04e0,5.9,['Drame'],fr,2017-09-13
STARS 80 LA SUITE,adb9e85181c35afab21a5d277f20223edbb615ca,3.8,"[""Comedie""]",fr,2017-12-06
KO,43513ce9f65882596e2ba0cf8625951a2d9c70cb,5.9,"[""Thriller""]",fr,2017-06-21
LADIES,775778a4c48c235c7cf60df56d11ed6381006561,0,[],en,2017-07-07
120 BATTEMENTS PAR MINUTE,9a00b46e0caba5a9b2a2a2b8c620b630ff554ed3,8.1,['Drame'],fr,2017-08-23
JUST DIVORCED,b655b63c701c9937da554c9f7346b26dfc2a8907,0,[],,
LE PETIT SPIROU,60b3321ab4f65923d10a8a7a21819df3d403ba61,0,"[""Comedie""]",fr,2017-09-27
BURN OUT,f2e88b5082f4a839623d9da5339f502723484a40,6.7,[],fr,2018-01-03
SIMONE BENLOULOU,5adf8553179b6d470de947a1c92449c5f9aa10d6,0,[],,
BITTER FLOWERS,42d92ce67c495b230d50fba12e7b021222eb0d35,4.5,[],en,2017-10-19
OVERDRIVE,0ffd5e0329779aa7e50da7184f2661069c4f44b6,5.9,"[""Thriller"", ""Action""]",en,2017-06-29
MAMAN A TORT,b47733ae444f1d7bdb6fca44c198acde4ebbf635,6.3,['Drame'],fr,2016-11-09
DEVLET AILE VE BEN,a6334ee59228e1bbeadff1de83cb5671345535bc,0,[],,
LA FILLE DE BREST,b05354337b3e31ccc911c139cb93b21f17f5643e,7.2,['Drame'],fr,2016-11-18
WAR MACHINE,0290e869095fe4b1f013fddebaa76a1db0f5f201,5.7,"[""Comedie"", 'Drame']",en,2017-05-26
SI J'ETAIS UN HOMME,874d854ceed088f35aab6122d7570ed6da954c04,5.1,"[""Comedie""]",fr,2017-02-22
IRIS/EX CHAOS,2fd60e94f0d852bdd00e89ec09ed9c3e3d2b19e3,0,[],,
MONSIEUR ET MADAME ADELMAN,b6f459c8c68a730be81b953ea9e038a93cd5e475,7.6,"[""Romance"", 'Drame', ""Comedie""]",fr,2017-03-08
IL A DEJA TES YEUX,10e44946064ad61800abbd1e063383e84a560c42,6.3,"[""Comedie""]",fr,2017-01-18
"PARIS, LA BLANCHE",d0eb1f0c719db5c3207322d9a618ddcb240fbad2,6.1,[‘Drame’],fr,2016-11-17
JEUNE FEMME,3cf7f4b1c03df19e129b5255b9679807114a6206,5.3,['Drame'],fr,2017-11-01
GC5,181c45faf92238bd8b8c41c37a81e99790e9fb12,0,[],,
DALIDA,9bd0667290bf1e687f3077ca5dd3f013474b029c,6.9,"['Drame', ""Romance""]",fr,2016-11-30
C'EST TOUT POUR MOI,436eeae1035b8258009e291c2cdf5975118b27fd,7,"[""Comedie""]",fr,2017-11-29
DJANGO MELODIES,aa089bedafe407748b3fde005caa68aa5776df27,6.5,['Drame'],fr,2017-04-26
L'ASCENSION,29640638972f716473c24f7b8c4681f78703166d,6.8,"[""Comedie"", ""Romance""]",fr,2017-01-25
BEFIKRE,8ad1e01395861a21f6bf63a6af3d10ee8d7fba91,4.8,"[""Romance"", ""Comedie"", 'Drame']",hi,2016-12-09
DEMAIN ET TOUS LES AUTRES JOURS (2),b66bfab83f3b60f1d48fd58092df1e4ea116044f,5.9,[‘Drame’],,
KOTO,330b2933c7252277374a290343fd9694a9babea4,0,['Drame'],ja,2016-12-03
LA NIAQUE,cd34b7c9d75f8d06b67b185acb5215a001584a34,0,[],,
CORPORATE,39f688f27811740f44c635179981d20791945e19,6.3,"['Drame', ""Comedie""]",fr,2017-04-05
OUI MADEMOISELLE,fe921910b7a21218bf61d7ac6352f9f4a52973b3,0,[],,
MON POUSSIN,6b246a5cb66ca45f4f5b59f478be1618852794dd,5.9,"[""Comedie""]",fr,2017-06-28
KANTOR,4c22f64fa6ed737e3c05c6851f63c5c31af373d9,0,[],,
AU REVOIR LA HAUT,07f5ee3871007254d5bb43dcc302c6be07e09c96,8.2,"[""Comedie"", 'Drame']",fr,2017-10-25
LA SAGE FEMME,3d275127b2ff34b4be38289770daf47dd57818f3,5.7,"[‘Comedie’,’Drame’]",,
H4-93,cd6871803cb6673c01290a32806a9028bac1164d,0,[],,
LES FANTOMES D'ISMAEL,702c0c94a4a9cd014b4ab91c3df429c947fc5563,5.4,"['Drame', ""Romance"", ""Thriller""]",fr,2017-05-17
THE ESCAPE,9214b53420da32be85d785bd9a73013b82c537ad,6.5,['Drame'],en,2017-09-22
LA NUIT A DEVORE LE MONDE,c50e90ac2241e73f1cd85132a189426fce6f20c4,6.2,[‘Horreur’],,
COEXISTER,f00d7520a791f6ecda15cdc263dd5264b1cf2f5e,6.5,"[""Comedie""]",fr,2017-10-11
AMANT DOUBLE,d8ccbe82892339be38871bb382b81bc44e6bfb5c,6.2,"[""Romance"", ""Thriller"", 'Drame']",fr,2017-05-26
NUMERO UNE,40e2ba7df06fb2dd36186da5a1ba25564e2a83d8,6.5,"['Drame', ""Comedie""]",fr,2017-10-11
L'UN DANS L'AUTRE,3a4c5921c5c3df4ccf7b3fee5707c67a71a7a255,5.9,"[""Comedie""]",fr,2017-09-20
LOUE MOI,fa871aad0f5b4cdb827c6270d8d870b1dadb7330,5.5,"[""Comedie""]",fr,2017-07-05
UNE SAISON EN FRANCE,6acb5dda2f18b7b841280566cb379c3a6edb17b0,4.8,"[‘Comedie' , 'Drame’]",,
LA FETE EST FINIE,cef19bda9e283e432a31e4c82e9fb66372bec85f,6.6,[‘Drame’],,
CARBONE,f72a2aedc4a6ef0c2f2ddfdd52cdb3ba834fa019,7.2,[],fr,2017-11-01
LEILA,1283330b0a546a538253baa6fab746d0bffc06ef,0,[],,
100 % COCO,ef74f5af97c7acf349fb0064183d0811304f673b,6.6,['Drame'],nl,2017-07-06
JE VAIS MIEUX,a5bfb1bd703447d88c63908b22ff1d71051396d9,5.5,[‘Comedie’],,
LE BRIO,8c554d32bea23f75dcf39a88fd74d8cd9c9dcaaa,7.3,"[""Comedie""]",fr,2017-11-22
LA MONNAIE DE LEUR PIECE,be0ff453d106e0bae3ca0f9286f1378914e35432,4.3,[‘Comedie’],,
LE GRAND SAUT,0b0f445a3fb0a93c16b3bf5cd8d38e03f897bc0d,0,[],,
A 2H DE PARIS,216981d53c62623dfb194b2e0d422a7dfadc3cbc,0,[],,
AURORE TABORT,dffc231fd15f4c0386feb7be01030e965e63b9da,0,[],,
LOLA PATER,d4ee40c754e9b026185c9b3c5f542602aaf93d20,6,"[""Comedie""]",fr,2017-08-09
MARIE FRANCINE,758dd01153dcaf5addab87d6dd93884232910842,5.6,"[""Comedie""]",fr,2017-05-31
CHERCHEZ LA FEMME,9e1edbcd4495cd2659188e1f7b7240641a8e5132,6.2,"[""Comedie""]",fr,2017-06-28
PLONGER,48c8138a938d02a17cbd81ff35843e5b90be6132,6,['Drame'],fr,2017-11-29
FLEUVE NOIR,7277a42271f9ea2eb913e4e8ede454ef18d764d0,0,[],,
FLORA63,b53860fe385da003cb3f8f87e6b2cde38fa27cca,0,[],,
RAID DINGUE,77c679bc17cae8c3526651ae979da6f538bff74b,5.8,"[""Action"", ""Comedie""]",fr,2017-02-01
ROCK ON 2,66a71dc6fee2a2cf19647f3d99def6e39dac8819,3.4,['Drame'],hi,2016-11-11
ALIBI.COM,418d14013bb11cf6cc95f58215a3366dd075614b,6.8,"[""Comedie""]",fr,2017-02-15
VIVE LA CRISE,eefc4450d6f8ba67f34a3023ac747d8aab3c5097,5.3,"[""Comedie""]",fr,2017-05-10
DANIEL,89c098d4721d0e9649d54a009a8a929711c3b673,7.7,['Drame'],en,2016-10-21
RODIN,64903a59e290a1f0a7adfd98ea729ac079b4f64f,4.6,[],fr,2017-08-31
LUMIERE AMOUREUSE,508a4612560dc480b32f5dcc433f0059be7539d7,0,[],,
UNE VIE VIOLENTE,ced6e23fc00ed7578daa692cd2146c39ebf89fed,7.8,[],fr,2017-08-09
EYE ON JULIET,c88703e744772725cb1d2773c4b797326d4a0b9b,6,[],en,2017-08-30
FREED,b5dc2c8f9a20de67209dd8d2abf2f923ef8bc05a,7.6,"[""Comedie""]",en,2016-07-01
LES TETES DE L'EMPLOI,f59b377efc29dd17b42358ee2306f9bb53808afa,4.3,"[""Comedie""]",fr,2016-11-16
BLOCKBUSTER,9cbde2464b252a1ab121e9f6af1d273cf6c4d2c1,4.3,[],fr,2018-01-24
QUE LE DIABLE NOUS EMPORTE,a5008170d92572d3f78c761558661a23596a6148,6.0,"[‘Comedie' , 'Drame’]",,
OTEZ MOI D'UN DOUTE,9a3f412c3ad9395330530b4f28a8129e8001c8a0,6.7,"['Drame', ""Comedie""]",fr,2017-09-06
SOUS LE MEME TOIT,48f4656f0e773653dc7da9fb879a04933fb74432,5.4,"[""Comedie""]",fr,2017-04-19
KNOCK,0ecd5dc4daaafacf472039b39fcb75821ef1548f,6.3,"[""Comedie""]",fr,2017-10-18
HARWOOD,d2233f93edb36270ef34c083b12ee8ecab397416,0,[],,
MES TRESORS,f518ca8b41c2b972a86da4d30b22fc967345ff6d,5.9,"[""Comedie""]",fr,2017-01-04
UN CONTE INDIEN,f83a3d5cfc767d92c1909bb26132aaa5ccdeda7b,0,[],,
ESPECES MENACEES,8978ada96f31ba69851c8121005df931b4e58d78,8,['Drame'],fr,2017-09-27
SEULS,8e911072e9906d3dddfb1556b723cee3baf19921,5.6,[],fr,2017-02-08
L'AMOUR QU'IL NOUS FAUT,99926bf019d20f0d011d525d73e27c7d3d8289d5,0,[],,
TUDO BOM TUDO BEM,93487b1ee752d46c101092c0ccda7c5499ace8c5,0,[],,
JUSQU'A LA GARDE,a2b42f62317ec9b65fa72c42f90ce5298f7b3dce,7.5,[‘Drame’],,
ELI LI TRA NIJI,de7422cd301731870b61b5231a3e0372c27ec724,0,[],,
BIENVENUE AU GONDWANA,bc327489fe8038549fa42583b76105826e94c269,4.3,"[""Comedie""]",fr,2017-04-12
BRAS OUVERTS,481a2a105cb0336ab767689beb9a1810f82cc3a3,5.1,"[""Comedie""]",fr,2017-04-05
BARBARA,59661644714355c39ea40a9210044ec8742da331,6.7,[],fr,2017-09-06
GAUGUIN,1df3b6ac948ca0140f736cc0b9dde6fd0b1d693e,6.2,[],fr,2017-09-20
ESPADRILLES,83f47e0753aba64b563c816b1490fd17d2d0d523,0,[],,
PAULA,872fa3b2fa9e28fc29d873d3e2bf7d758ec98543,6.9,['Drame'],de,2016-12-15
SPARRING,1585dffb1ccea568dac0c2f94d3ad5f811df0540,6.3,[‘Drame’],,
